SECTOR_NAME,DATE1,TOTAL_TRADED_VALUE,TTL_TRD_QNTY,DELIV_QTY,AVG_PRICE,Month,Growth_rate
Commodities,2024-01-12,53606816942.32,150243810,69315894,356.79883878290894,1,
Consumer Discretionary,2024-01-12,129507759151.93,413111950,151492898,313.49313219317423,1,
Energy,2024-01-12,57121017061.85,164054234,67666638,348.1837418585003,1,
Financial Services,2024-01-12,198416001218.95,1399514372,476639300,141.77489362642288,1,
Industrials,2024-01-12,80303915726.64,190913534,71041545,420.6297691112878,1,
Commodities,2024-01-15,59077119501.43,184516383,80507305,320.1727594098243,1,10.204490531485867
Consumer Discretionary,2024-01-15,116439544442.54,297231638,147752908,391.7468047009854,1,-10.090680894307823
Energy,2024-01-15,52973231638.08,178590934,66822315,296.6176975035026,1,-7.261399808898394
Financial Services,2024-01-15,257524838488.58,1525587916,458133426,168.80366958057368,1,29.790358089317603
Industrials,2024-01-15,130636971624.11,407844127,115320466,320.3110281004733,1,62.6782087050489
Commodities,2024-01-16,88054874170.06,342624336,124781181,257.00122530134576,1,49.05072372042203
Consumer Discretionary,2024-01-16,121223361099.95,293460375,134260463,413.0825536495344,1,4.108412378554682
Energy,2024-01-16,62332906239.63,202350026,75440310,308.0449628389472,1,17.668687206958623
Financial Services,2024-01-16,313608243020.4,1987177763,532510764,157.8158979330326,1,21.777862229125166
Industrials,2024-01-16,115897157671.2,309490234,99229267,374.4775923081308,1,-11.283034021426797
Commodities,2024-01-17,79736506540.54,268834999,120634425,296.6001705028741,1,-9.446799746093305
Consumer Discretionary,2024-01-17,119485591212.12,265016801,144299158,450.8604388901366,1,-1.4335272278065192
Energy,2024-01-17,54579131267.94,159562767,76466781,342.054304359989,1,-12.43929641573539
Financial Services,2024-01-17,493621771707.58,1899618608,600940503,259.85309347295043,1,57.40076439109103
Industrials,2024-01-17,144469713367.94,420334665,118978653,343.70163918776484,1,24.653370514745742
Commodities,2024-01-18,89458965817.69,271711626,88371757,329.24231890500704,1,12.19323456590975
Consumer Discretionary,2024-01-18,153194257797.83,387875255,150756282,394.95754323856,1,28.211490811363007
Energy,2024-01-18,52786356049.1,148959811,53281615,354.366427392285,1,-3.284726556087725
Financial Services,2024-01-18,370968370846.49,1487530082,431773564,249.38545803908656,1,-24.847648116653474
Industrials,2024-01-18,131989081917.71,389284907,108712878,339.0552254770823,1,-8.6389258753798
Commodities,2024-01-19,82036989441.24,204508688,76642932,401.14183042062257,1,-8.29651484187216
Consumer Discretionary,2024-01-19,144241172558.19998,321377511,143085098,448.82161203308334,1,-5.844269470886676
Energy,2024-01-19,49831919719.58,137219324,55997231,363.1552631725543,1,-5.596969653999007
Financial Services,2024-01-19,351531655081.33,1390800329,469173127,252.75494098716885,1,-5.239453628029933
Industrials,2024-01-19,160846263352.55,591122054,140111722,272.1033029712506,1,21.863309461332037
Commodities,2024-01-20,63013044332.16,205272305,78906137,306.97294665327604,1,-23.189472503383534
Consumer Discretionary,2024-01-20,80917981162.14,161247365,62813444,501.8251378069961,1,-43.900912806646566
Energy,2024-01-20,43005286274.21,116295815,41642589,369.7922085520446,1,-13.699318596966826
Financial Services,2024-01-20,185415464058.06,949254771,287022462,195.32739757813656,1,-47.25497366228299
Industrials,2024-01-20,113889914479.06,449215205,112660383,253.5308538344333,1,-29.193310366538626
Commodities,2024-01-23,87264306562.36,265446894,113170043,328.7448771668807,1,38.486098374115315
Consumer Discretionary,2024-01-23,204813657223.97,553673486,250454894,369.9177627298736,1,153.11266331963117
Energy,2024-01-23,76120543449.73,198343859,89233345,383.7806919433286,1,77.00275953139976
Financial Services,2024-01-23,468105248339.76,1774421046,663732589,263.8073130359839,1,152.46289500059177
Industrials,2024-01-23,151511216907.56,547441486,169910307,276.76239521891114,1,33.033041249159176
Commodities,2024-01-24,93554581882.61,266087621,102334038,351.5931388728903,1,7.20830264749186
Consumer Discretionary,2024-01-24,156317380537.8,449298622,163531594,347.9142220422835,1,-23.67824360127404
Energy,2024-01-24,65593942952.47,146582740,62587914,447.48749376952566,1,-13.828856206487494
Financial Services,2024-01-24,374339393012.99,1551000343,474734581,241.35352045695197,1,-20.030934423258785
Industrials,2024-01-24,128533870561.98,371753433,91490352,345.7503257595472,1,-15.165442410510721
Commodities,2024-01-25,106267171244.41,396454038,147624284,268.04411371491693,1,13.58841983576118
Consumer Discretionary,2024-01-25,141374152610.31,313777611,138655594,450.55525841934593,1,-9.559543459645226
Energy,2024-01-25,56649950801.19,147530799,59139124,383.9872839107311,1,-13.635393374295091
Financial Services,2024-01-25,330449484913.23,1339091892,451589081,246.77132830644453,1,-11.724629819613186
Industrials,2024-01-25,130970111512.42,462588118,101360919,283.1246770424397,1,1.8954077550051185
Commodities,2024-01-29,100824208964.78,352939531,130304475,285.6699239076736,1,-5.121960259120306
Consumer Discretionary,2024-01-29,133905781255.95,267697328,134415885,500.2133650581301,1,-5.282699288706716
Energy,2024-01-29,101728101197.56,263295758,104491276,386.364375826974,1,79.57315012429467
Financial Services,2024-01-29,324340507597.08,1564096475,588730834,207.3660498448985,1,-1.8486871957915318
Industrials,2024-01-29,119369918983.67,510675728,141347931,233.7489573886112,1,-8.857129611323533
Commodities,2024-01-30,86657849407.29,266046284,104372024,325.72471264920955,1,-14.050553634830509
Consumer Discretionary,2024-01-30,138746626664.33,381756289,162441373,363.44293640262725,1,3.615113076504972
Energy,2024-01-30,98856542532.74,284983170,104482643,346.8855460227353,1,-2.8227782009253355
Financial Services,2024-01-30,295696929496.38,1337739375,447942729,221.0422560794998,1,-8.831329244968444
