SECTOR_NAME,DATE1,TOTAL_TRADED_VALUE,TTL_TRD_QNTY,DELIV_QTY,AVG_PRICE,Month,Growth_rate
Commodities,2024-03-01,93901125014.6,395851342,152345225,237.21310262628845,3,
Consumer Discretionary,2024-03-01,130136533110.1,287245638,117578839,453.04964077504985,3,
Energy,2024-03-01,58745428139.89,130924293,52124395,448.6976923365169,3,
Financial Services,2024-03-01,171254129758.88,664643017,214290703,257.66332509121963,3,
Industrials,2024-03-01,81795469493.65,159386028,58526280,513.1909648545228,3,
Commodities,2024-03-02,14134995093.47,70869600,34168210,199.4507531222132,3,-84.94693743949048
Consumer Discretionary,2024-03-02,15066246243.14,38252768,20849049,393.86028857153553,3,-88.42273888578741
Energy,2024-03-02,3844084511.94,9570472,5240924,401.6609120156247,3,-93.45636820828659
Financial Services,2024-03-02,15490692282.99,95215346,48597782,162.69113051366742,3,-90.95455840697075
Industrials,2024-03-02,7175507401.3,15712202,8583480,456.6837545303962,3,-91.22750019564708
Commodities,2024-03-04,80968234415.0,328076934,110801694,246.79648589681105,3,472.82110025213393
Consumer Discretionary,2024-03-04,111368397064.35,257486540,123730556,432.52123805908457,3,639.1914035326387
Energy,2024-03-04,69736886799.66,175552853,72168017,397.24154639435,3,1714.1351102727392
Financial Services,2024-03-04,165144793226.19,629196567,231496990,262.4693170428408,3,966.090463933184
Industrials,2024-03-04,139348198780.45,384838024,89013111,362.0957132355768,3,1841.997840531863
Commodities,2024-03-05,80528277630.92,211297728,83157817,381.1128420222294,3,-0.5433696155766721
Consumer Discretionary,2024-03-05,160973632242.15,282332512,111707590,570.1562002258883,3,44.54157237186192
Energy,2024-03-05,52692421695.43,132406360,49517559,397.9598993237938,3,-24.441104107780596
Financial Services,2024-03-05,247053907274.21,1063639034,344701237,232.2723211324059,3,49.59836301701226
Industrials,2024-03-05,82777422721.29,191137705,55105915,433.0774125455257,3,-40.59670419442599
Commodities,2024-03-06,102502884697.65,255788303,87151294,400.7332762892211,3,27.288062918028345
Consumer Discretionary,2024-03-06,185653387135.19,730986051,456305562,253.9766482290782,3,15.331551229405482
Energy,2024-03-06,71011794830.89,154617208,57766783,459.27484883112106,3,34.76661832198316
Financial Services,2024-03-06,302704783295.44,1308212635,406374114,231.3880597059361,3,22.52580282385981
Industrials,2024-03-06,78491392544.70999,203199483,65450684,386.27752091628105,3,-5.177776784632426
Commodities,2024-03-07,164304389619.32,398627945,107118113,412.1747902529011,3,60.29245430893408
Consumer Discretionary,2024-03-07,147039888214.16,238054254,115490453,617.6738526762895,3,-20.798704250363198
Energy,2024-03-07,42978138143.12,82535677,33108888,520.7219435919815,3,-39.47746533449879
Financial Services,2024-03-07,205703365932.44,858526236,285552264,239.60055884936287,3,-32.04489083620676
Industrials,2024-03-07,72380174576.98999,145787213,53195884,496.4782101773905,3,-7.785844752644633
Commodities,2024-03-11,82863204247.03,206581808,77197251,401.1156889818197,3,-49.56726083885078
Consumer Discretionary,2024-03-11,127675001966.77,226062589,114800100,564.7772262166297,3,-13.169818395934518
Energy,2024-03-11,50407126453.52,99747039,44730629,505.3496019417679,3,17.285505215840157
Financial Services,2024-03-11,219970462294.13,868832174,309604991,253.17946189931268,3,6.935762230733644
Industrials,2024-03-11,87263401970.96,166959234,67883001,522.6629272326442,3,20.562574601334926
Commodities,2024-03-12,74067760879.0,191821664,69541879,386.128236688636,3,-10.61441377744603
Consumer Discretionary,2024-03-12,115089284109.5,223387495,107380046,515.2002089888693,3,-9.857621040449004
Energy,2024-03-12,47224976527.05,106314153,45940436,444.2021611840335,3,-6.312896906361498
Financial Services,2024-03-12,257646142578.57,922871877,306121117,279.1786693252654,3,17.127608812342523
Industrials,2024-03-12,74676249658.95999,181831641,71254300,410.6889716678078,3,-14.424319964271891
Commodities,2024-03-13,102574444953.98,324789826,129147122,315.8179128245846,3,38.487303702281
Consumer Discretionary,2024-03-13,166957388312.83,368968586,174405696,452.497569299382,3,45.067709478478335
